url,categoria,nombre,variante,sku,precio_lista,precio_transferencia,stock,disponible,descripcion,imagen
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),3.00 Mts,005481/BD,53822.09,48439.88,1271,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),3.50 Mts,005481/BE,62773.38,56496.04,88,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),4.00 Mts,005481/BF,71753.27,64577.94,90,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),4.50 Mts,005481/BG,80704.54,72634.09,1653,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),5.00 Mts,005481/BH,89684.43,80715.99,1631,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),5.50 Mts,005481/BI,98664.31,88797.88,863,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),6.00 Mts,005481/BJ,107615.6,96854.04,321,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),6.50 Mts,005481/BK,116595.48,104935.93,28,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),7.00 Mts,005481/BL,125546.76,112992.08,457,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),7.50 Mts,005481/BM,134526.64,121073.98,28,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),8.00 Mts,005481/BN,143506.52,129155.87,28,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),8.50 Mts,005481/BÑ,152457.81,137212.03,28,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),9.00 Mts,005481/BO,161437.69,145293.92,28,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),9.50 Mts,005481/BP,170388.97,153350.07,28,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),10.00 Mts,005481/BQ,179368.85,161431.97,28,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-cincalum-n25-0-5mm-10en9,Siderometalúrgico > Chapas > Chapa Canaleta > Cincalum,CHAPA CANALETA CINCALUM N°25 (0.5mm),13.00 Mts,005481/BT,233190.95,209871.86,611,True,"Comprá online CHAPA CANALETA CINCALUM N°25 (0.5mm) por $53.822,09. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8857-f98d60f4682b5b3a0916663567642372-640-0-0c5b4f5bd6037df86117661788725327-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-galvanizada-25-0-5mm-xkep4,Siderometalúrgico > Chapas > Chapa Canaleta > Galvanizada,CHAPA CANALETA GALVANIZADA 25 (0.5mm),3.00 Mts,009435/D,51276.85,46149.17,700,True,"Comprá online CHAPA CANALETA GALVANIZADA 25 (0.5mm) por $51.276,85. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8864-48354ef5d20e8db8e916663567708179-640-0-copia-071b701cf5b5e01d2a17661789783296-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-galvanizada-25-0-5mm-xkep4,Siderometalúrgico > Chapas > Chapa Canaleta > Galvanizada,CHAPA CANALETA GALVANIZADA 25 (0.5mm),3.50 Mts,009435/E,59827.75,53844.98,130,True,"Comprá online CHAPA CANALETA GALVANIZADA 25 (0.5mm) por $51.276,85. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8864-48354ef5d20e8db8e916663567708179-640-0-copia-071b701cf5b5e01d2a17661789783296-1024-1024.webp
https://carlosisla.com.ar/productos/chapa-canaleta-galvanizada-25-0-5mm-xkep4,Siderometalúrgico > Chapas > Chapa Canaleta > Galvanizada,CHAPA CANALETA GALVANIZADA 25 (0.5mm),4.00 Mts,009435/F,68378.66,61540.79,67,True,"Comprá online CHAPA CANALETA GALVANIZADA 25 (0.5mm) por $51.276,85. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/8864-48354ef5d20e8db8e916663567708179-640-0-copia-071b701cf5b5e01d2a17661789783296-1024-1024.webp
